wikidata_id,orgid,organization,code,division,department,email
,124572,Fort Worth Museum of Science and History,FWM,,Science Department,
,124021,Baylor University,BAYLU,,Department of Biology,Dwayne_Simmons@baylor.edu
,124022,Baylor University,SRCG,Plant Biotechnology Center,,
,126845,University of Texas,UTD,Biological Laboratories 311,Plant Resources Center,
,170143,Jarvis Christian College,ETNH,,East Texas Natural History Collection,
,126844,University of Texas Rio Grande Valley,PAUH,,Biology Department,amcdonald@utpa.edu
,125790,University of Texas Rio Grande Valley,RUNYON,,Biological Sciences Department,alejandro.fierrocabo@utrgv.edu
,126769,University of North Texas,NTSC,,Biological Sciences Department,kennedy@unt.edu
,126031,Southwest Texas Junior College,UVST,,Biology Department,gforbes@swtjc.edu
,127015,West Texas A&M University,WTS,,"Department of Life, Earth and Environmental Sciences",
,125634,Our Lady of the Lake University,LLC,,Biology Department,bhsalas@ollusa.edu
,124086,Botanical Research Institute of Texas,BRIT,,,herbarium@brit.org
,125185,Lowveld National Botanical Garden,GLOW,,,L.Ncube@sanbi.org.za
,126469,Università di Pisa,PI,,"Sistema Museale di Ateneo, Orto e Museo Botanico",lucia.amadei@unipi.it
,253911,"Science and Research Branch, Islamic Azad University, Tehran, Iran",ALBORZ,,,bahareh.nowruzi@srbiau.ac.ir
,130216,University of Southern Mississippi,USMS,,"School of Biological, Environmental, and Earth Sciences",mac.alford@usm.edu
,178189,Institute of Forest Ecology Slovak Academy of Sciences,NR,,Department of Plant Pathology and Mycology,uefezima@hotmail.com
,126191,Troy University,TROY,College of Arts and Sciences,Department of Biological and Environmental Sciences,
,126770,North-West University,UNWH,School of Biological Sciences,Botany,
,254506,Khuzestan Agricultural Sciences and Natural Resources University,KHAU,Faculty of Agriculture,Department of Horticulture,negaresh@ramin.ac.ir
,126447,Università Degli Studi di Napoli Federico II,NAP,,Dipartimento di Biologia Vegetale,
,254534,Eastern Washington University,EWU,,Biology,roquinn@ewu.edu
,254529,Universidad Nacional Amazónica de Madre de Dios (UNAMAD),HAG,Instituto de Investigación de Recursos Naturales y Medio Ambiente (INRENMA),Vicerrectorado de Investigación (VRI),herb.gentry@unamad.edu.pe
,125763,Real Jardín Botánico,MA,,,herbario@rjb.csic.es
,126621,"University of California, Davis",DAV,College of Agriculture and Environmental Sciences,Plant Sciences,eadean@ucdavis.edu
,125319,Musée et Jardins Botaniques Cantonaux MJBC,LAU,,,christophe.randin@vd.ch
,125352,Museu Botânico Municipal,MBM,Divisão do Museu Botânico Municipal,Prefeitura Municipal de Curitiba - Secretaria Municipal do Meio Ambiente,herbariombm@smma.curitiba.pr.gov.br
,125350,MUSE - Museo delle Scienze,TR,,Botany dep.,herbarium@muse.it
,124399,National Herbarium and Plant Laboratories,KATH,9,,subhger99@yahoo.com
,124880,Instituto Agronômico de Campinas,IAC,Centro de Recursos Genéticos Vegetais e Jardim Botánico,Botânica/Herbário,
,124931,"Instituto Politécnico Nacional (CIIDIR-Oax., I.P.N.)",OAX,Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional,,ragsantel@gmail.com
,159928,Ali Nihat Gokyigit Foundation,NGBB,,Science Department of NGBB,burcincingay@ngbb.org.tr
,126659,University of Georgia,GAM,Georgia Museum of Natural History,,dlogester@gmail.com
,124092,Botanical Survey of India,CAL,,,calherbarium@yahoo.co.in
,124451,East Tennessee State University,ETSU,,Dept. of Biological Sciences,mcdowelt@etsu.edu
,254561,Shiraz University,HSHU,College of Sciences,Department of Biology,arkhosravi@shirazu.ac.ir
,225186,Universidad de Sucre,HEUS,Centro de Laboratorios,Biología y Química,jdmercadog@gmail.com
,125161,Lingnan University,LU,,,
,125781,Rhodes College,SWMT,,Biology Department,
,126254,Universidad de Alcalá,AH,Facultad de Ciencias,Departamento de Ciencias de la Vida,
,254694,"Far Eastern University, Manila",FEUH,Institute of Arts and Sciences,Biological Sciences,herbarium@feu.edu.ph
,124510,Fairmont State University,FWVA,,Biology Department,dtrisel@fairmontstate.edu
,254704,Museum Biologi Yogyakarta,MBY,"Faculty of Biology, Universitas Gadjag Mada",Tropical Biology,mus_bio@ugm.ac.id
,125835,Rutgers University,CHRB,,Department of Plant Biology and Pathology,herbarium@sebs.rutgers.edu
,176899,University of  Caxias do Sul,HUCS,,Natural Science Museum,hucsherbario@gmail.com
,126945,Vilnius University,WI,Life Sciences Center,Botany and Genetics Department,mindaugas.rasi@gmail.com
,125647,Pakistan Forest Institute,PPFI,Central Forest Library,,mary.barkworth@usu.edu
,254819,North-West University,SANDC,,,Jonathan.Taylor@nwu.ac.za
,124308,Colegio de Postgraduados,CHAPA,,Botánica,
,124929,"Instituto Politécnico Nacional, CIIDIR Unidad Durango",CIIDIR,CIIDIR Unidad Durango,Academy of Ecology and Systematics,herbario_ciidir@yahoo.com.mx
,242944,State University of New York at Oswego,OSW,Department of Biological Sciences,,andrew.nelson@oswego.edu
,124473,Embrapa Recursos Genéticos e Biotecnologia - Embrapa Cenargen,CEN,,Prédio da Botânica e Ecologia,
,124881,Instituto Agronômico,IACM,Fitopatologia,Centro de Pesquisa e Desenvolvimento de Fitossanidade - IAC,
,148042,Universidade Estadual Vale do Acaraú,HUVA,,Centro de Ciências Agrárias e Biológicas,ivanilza@gmx.net
,124007,Australian National University,ANUC,,Chemistry Department,
,124008,Australian National University,GAUBA,"School of Life Sciences, Faculty of Science",Division of Botany and Zoology,
,125689,Pittsburg State University,KSP,,Biology Department,nsnow@pittstate.edu
,126046,"The College at Brockport, SUNY",BROC,,Environmental Science and Ecology,
,174203,Institut Menorquí d'Estudis (IME),HGM,,,agro.obsam@cime.es
,170676,Hugh Nicholson and Tony Abbott Herbarium,PCE,,,pceherbarium@gmail.com
,223650,"Botanical Garden Dr. B.M. Kozo-Polyansky, Voronezh State University",VORB,,,lilez1980@mail.ru
,126961,Voronezh State University,VOR,,Biology and Plant Ecology Department,agaphonov@mail.ru
,243586,Zhiguli State Nature Reserve,ZHR,,,das991834@yandex.ru
,126823,University of South Florida,SPMS,College of Marine Science,,
,124527,"Florida Marine Research Institute, Florida Department of Environmental Protection",STPE,,Florida Department of Environmental Protection,
,124952,Internationl Institute of Tropical Forestry,RPPR,USDA Forest Service,,
,126259,Universidad de Buenos Aires,BAF,Museo de Farmacobotánica Juan A. Domínguez,Facultad de Farmacia y Bioquímica,herbariobaf@ffyb.uba.ar
,126984,"Wasatch-Cache National Forest, USDA Forest Service",WANF,,,
,252349,Missouri Department of Conservation,MNH,Resource Science Division,Natural Heritage Unit,malissa.briggler@mdc.mo.gov
,252454,Conservatoire Botanique de Martinique,MTK,,Martinique,"Stéphanie SAINT-AIME, curator, stephanie.saint-aime@cbmartinique.org  Guillaume VISCARDI, CBMq director, guillaume.viscardi@cbmartinique.org"
,242954,Herbarium Melovskiorum,MKMEL,,,melovski@pmf.ukim.mk
,252237,William Jessup University,JESSUP,,,mmgrann@jessup.edu
,124252,Chelsea Physic Garden,CHEL,Society of Apothecaries,,kcreed@chelseaphysicgarden.co.uk
,254009,The State Museum of Pennsylvania,SMP,,Section of Zoology and Botany,wmeshaka@pa.gov
,254504,Texas A&M University-Corpus Christi,TAMUCC,,Life Sciences,barnabas.daru@tamucc.edu
,254892,Patuxent Research Refuge,PRR,,,botanybill@verizon.net
,124389,Departamento de Recursos Naturales y Ambientales,SJ,Area de Investigaciones Científicas,,
,126797,University of Puerto Rico,UPRRP,Faculty of Natural Sciences,Biology Department,ackerman.upr@gmail.com
,250229,Alexandria State Dendrological Park,BCK,,,alexandriapark@ukr.net
,253834,West Virginia Division of Natural Resources,WVHP,Natural Heritage program,Wildlife Section,
,124152,Butler University,BUT,College of Liberal Arts and Sciences,Biological Sciences,elgilles@butler.edu
,125477,National Tropical Botanical Garden,PTBG,,Science and Conservation,tflynn@ntbg.org
,254426,Bamfield Marine Science Centre,BMSC,,Education,
,125322,Museo cantonale di storia naturale,LUG,,,
,241461,"Consiglio Nazionale delle Ricerche, Istituto di Scienze Marine",ISMAR,,,simona.armeli@ve.ismar.cnr.it
,125449,National Herbarium of Cameroon,YA,,,
,127079,Yaroslavl State University,YAR,,Faculty of Biology and Ecology,
,124096,"Botanical Survey of India, Northern Regional Centre",BSD,,,"ambrishbasi@yahoo.co.in
bsinc2001@rediffmail.com"
,126188,Tropical Botanic Garden and Research Institute,TBGT,,,
,124986,"Jardín Botánico Canario Viera y Clavijo, Unidad Asociada al CSIC",LPA,,,agmarrero@grancanaria.com
,125817,Royal British Columbia Museum,V,Botany Unit,,
,126890,Western University,UWO,,Department of Biology,rgthorn@uwo.ca
,124283,AGACAL. Xunta de Galicia,LOU,Centro de Investigaciones Forestales de Lourizan,,francisco.javier.silva.pando@xunta.es
,124539,Forest Products Research and Development Institute,CLP,,Department of Science and Technology,
,125820,"National Park, Wildlife and Plant Conservation Department",BKF,,,rpooma@dnp.go.th
,125888,Seoul National University,SNUA,College of Agriculture & Life Sciences,The  Arboretum,quercus@plaza.snu.ac.kr
,125052,Kerala Forest Research Institute,KFRI,Division of Botany,,
,124993,Bordeaux Botanical,BORD,,,
,123899,Ajrekar Mycological Herbarium (AMH),AHMA,,Botany Group,arimacs@pn2.vsnl.net.in
,124912,Instituto Mexicano del Seguro Social,IMSSM,Coordinación de Investigación en Salud,,
,124105,Botanische Staatssammlung München,M,,,renner@lrz.uni-muenchen.de
,124793,Fundação Instituto Brasileiro de Geografia e Estatística,HRB,Coordenação de Recursos Naturais,Gerência de Recursos Naturais/Unidade Estadual Bahia,hrb@ibge.gov.br
,126919,Museum of Evolution,UPS,,Botany,stefan.ekman@em.uu.se
,124334,Conservatoire et Jardin botaniques de la Ville de Genève,G,,,"herb-phanero.cjb@ville-ge.ch
herb-crypto.cjb@ville-ge.ch"
,125811,Royal Botanic Garden Edinburgh,E,,,
,124923,Instituto Nacional de Tecnología Agropecuaria,BAB,Centro de Recursos Naturales,Instituto de Recursos Biológicos,rfortunato@cnia.inta.gov.ar
,124825,Institut Botànic de Barcelona,BC,,,
,243582,Drake University,DRK,,,thomas.rosburg@drake.edu
,172519,Donetsk Botanical Garden,DNZ,,,donetsk-sad@mail.ru
,168351,Centro de Investigaciones Científicas y Transferencia de Tecnología a la Producción (CICyTTP-CONICET),DTE,,,acenolaza@gmail.com
,124840,"Victorian State Government, Australia",VPRI,Agriculture Victoria,"Department of Economic Development, Jobs, Transport and Resources",jacky.edwards@ecodev.vic.gov.au
,158055,Museu Integrado de Roraima,MIRR,"Fundação Estadual do Meio Ambiente, Ciência e Tecnologia de Roraima,",,andreiasflores@gmail.com
,151720,Jardin botanique de Montréal,CMMF,,Cercle des Mycologues,mycomtl@mycomontreal.qc.ca
,223644,Jardín Botánico José Celestino Mutis,JBB,,Subdirección Científica,herbario@jbb.gov.co
,253888,Herbario Tropical S.A.S.,HT,,,herbariotropical@gmail.com
,124857,Institute of Forest Genetics and Tree Breeding,FRC,Division of Forest Ecology and Climate Change,,dir_ifgtb@icfre.org
,126880,University of Vermont,VT,,Plant Biology,dbarring@uvm.edu
,126737,University of Minnesota Duluth,DUL,,Biology Department,
,125298,Moscow State University,MW,Faculty of Biology,Department of Geobotany,botanik.seregin@gmail.com
,126877,University of Turku,TUR,Centre for Biodiversity,,sephuh@utu.fi
,126359,Universidade Federal de Sergipe (UFS),ASE,,Departamento de Biologia (DBI),herbarioase@ufs.br
,254697,Arboretum Wespelaar,ARWESP,,,
,125083,"Kunming Institute of Botany, Chinese Academy of Sciences",KUN,,,liuende@mail.kib.ac.cn
,254827,University of Parakou,UNIPAR,Faculty of Agronomy,Natural Resources Management,"n.s.yorou@gmail.com, nourou.yorou@gmail.com"
,254807,Universidade Tiradentes,AJU,,Botânica,
,126367,Universidade Federal do Rio de Janeiro,RFA,"Instituto de Biologia, C.C.S.",Departamento de Botânica,herbario@biologia.ufrj.br
,254650,Pinnacles National Park,PINN,,Natural and Cultural Resources,
,124900,Instituto de Investigação Científica Tropical,LISC,Universidade de Lisboa,Museu Nacional de História Natural e da Ciência,
,125577,"The Nova Scotia Museum of Natural History, Collections",NSPM,Collections,"Communities, Culture, and Heritage",
,124141,Bulgarian Academy of Sciences,SOM,Institute of Biodiversity and Ecosystem Research,Department of Plant and Fungal Diversity and Resources,sbancheva@yahoo.com
,168904,Campbell University,CAU,,Department of Biology,havran@campbell.edu
,254845,Coastal Maine Botanical Gardens,CMBG,,Research,mcullina@mainegardens.org
,254858,Amway Corporation,AMWH,Research & Development,Analytical Sciences,kelly_glynn@amway.com
,254809,Lomonosov Moscow State University,MYX,,Department of Mycology and Algology,rubisco@list.ru
,254811,Magyar Mezőgazdasági Múzeum és Könyvtár (The Museum and Library of Hungarian Agriculture),MMGMK,,Collections Department,
,124961,Islamia College University Peshawar,ICP,Faculty of Natural Sciences,Botany Department,ishtiaqmatta@gmail.com
,126788,"PCSIR Laboratories Complex, Peshawar",PES,MEDICINAL BOTANIC CENTRE:,Botany Section,hina_fazalso@yahoo.com
,126789,University of Peshawar,PUP,,Botany Department,
,254759,Patanjali Research Foundation,PRFH,Herbarium,Patanjali Herbal Research Department,bhaskar.joshi@prft.co.in
,257763,Société botanique de l'Ardèche,SBAH,Auvergne-Rhône-Alpes,Ardèche,sbardeche@laposte.net
,124488,Escuela Agrícola Panamericana,EAP,,,rfdiaz@zamorano.edu
,254912,Royal College of Physicians of London,RCPL,,Medicinal Plant Garden,garden@rcplondon.ac.uk
,124321,Colorado State University,CS,,Department of Biology,psimmons@rams.colostate.edu
,126186,Trinity College,TCD,School of Botany,,
,145264,Western Colorado University,WSC,,Department of Natural and Environmental Sciences,rbingham@western.edu
,126866,The National Herbarium of Trinidad and Tobago,TRIN,,,HerbariumUnit@sta.uwi.edu
,125570,Norwegian University of Science and Technology,TRH,NTNU University Museum,Department of Natural History,
,124549,Institute of Research and Development for Natural Resource Conservation Technology,WAN,,,
,126124,Teachers Training College,OLTC,Faculty of Biology and Biotechnology,Microbiology and Mycology,
,125387,State Museum of Natural History,LWS,National Academy of Sciences of Ukraine,,novikoffav@gmail.com
,124174,Cambridge University Botanic Garden,CGG,,c/o Cambridge University Herbarium (CGE),
,124325,Complexe scientifique,QUE,,,norman.dignard@mffp.gouv.qc.ca
,225899,Natural History Institute,NHI,,,info@naturalhistoryinstitute.org
,124095,"Botanical Survey of India, Industrial Section Indian Museum",BSIS,Indian Museum,BOTANICAL GALLERY,BSIISIM@REDIFFMAIL.COM
,53848,Korea Research Institute of Bioscience and Biotechnology,KRIB,International Biological Material Research Center,,
,158212,"Shah Abdul Latif University, Khairpur (Mir's)",SLUBGH,Shah Latif University Botanical Garden & Herbarium,Centre for Biodiversity & Conservation,arslan.larik@salu.edu.pk
,123968,Antarctic Division,ADT,,,
,126356,Universidade Federal de Santa Catarina,FLOR,,Departamento de Botânica,herbarioflor.bot@contato.ufsc.br
,125188,Ludwig-Maximilians-Universität,MSB,"Fakultät für Biologie, Systematische Botanik und Mykologie",,
,125905,Shandong University,JSPC,School of Life Sciences,Institute of Ecology and Biodiversity,
,253484,Embrapa Florestas,HFC,,,cnpf.hfc@embrapa.br
,174827,Dr. Shivaram Karantha  Pilikula Nisarga Dhama,PND,,,
,125515,Newberry College,NBYC,,Department of Biology,charles.horn@newberry.edu
,253010,"University of Sindh, Jamshoro",SINDH,Faculty of Natural Sciences,Institute of Plant Sciences,rabia.memon@usindh.edu.pk
,249126,Liaocheng University,LCUF,,College of Life Sciences,bio211@163.com
,124391,Department of Agriculture,ADA,Animal and Plant Control Commission,,
,253175, Universidade Tecnológica Federal do Paraná,DVPR,,Ciências Biológicas,herbario-dv@utfpr.edu.br
,125720,Municipal Parks of São Paulo,PMSP,,Departamento de Parques e Áreas Verdes,herbario_svma@prefeitura.sp.gov.br
,178340,Artvin Coruh University,ARTH,Forest Botany,Forest Engineering,herbaria@artvin.edu.tr
,126950,Virginia State University,VSUH,,Biology,
,255028,ONG Micófilos,MICOCL,,,micofilos.chile@gmail.com
,255042,Fundação Oswaldo Cruz - FIOCRUZ (Oswaldo Cruz Foundation),CBPM,Instituto de Tecnologia em Fármacos - Farmanguinhos (Institute of Pharmaceutical Technology - Farmanguinhos),Núcleo de Gestão em Biodiversidade e Saúde - NGBS (Management Center for Biodiversity and Health),cbpm@fiocruz.br
,124913,"Botanic Garden of the City ""Carlos Thays""",BAJ,Ministery of Environment,City Hall,
,124300,"Clinch Valley College, University of Virginia",CVCW,,Biology Department,
,126236,Jardín Botánico Universitario,HUAP,,,jardin.botanico@correo.buap.mx
,126557,Université de Lubumbashi,LSHI,Unité d'Ecologie Restauration Ecologique et Paysage,Faculté des Sciences Agronomiques,
,127106,Van Flora Application and Research Center,VANF,,Van Flora Application and Research Center Herbarium,nasip@hotmai.com
,124893,Instituto de Botânica,SP,,,denilsonfperalta@gmail.com
,253122,Yuzuncu Yil University Faculty of Education,VHLV,Faculty of Education Biology Education Department,Faculty of Education,nasip@hotmail.com
,126511,University of Salzburg,SZU,Scientific Division of Ecology and Diversity of Plants,Department of Biosiciencs,andreas.tribsch@sbg.ac.at
,126377,Universidad Industrial de Santander,UIS,Facualtad de Ciencias,Escuela de Biología,acastano@uis.edu.co
,126793,University of Pretoria,PRU,,Department of Plant & Soil Sciences,herbarium@up.ac.za
,125124,La Trobe University,LTB,School of Life Sciences,"Department of Ecology, Environment and Evolution",herbarium@latrobe.edu.au
,255111,Pepperwood Preserve,PPWD,,,
,124093,"Botanical Survey of India, Central Regional Centre",BSA,"Ministry of Environment, Forest & Climate Change",Botanical Survey of India,"cc@bsi.gov.in
bsi.crcald@gmail.com"
,125430,"M.G. Kholodny Institute of Botany, National Academy of Sciences of Ukraine",KW,,,herbarium_kw@ukr.net
,257049,Volgograd Regional Botanical Garden,VRBG,,,vrbs@list.ru
,155447,Düzce University,DUOF,Faculty of Forestry,Department of Forest Botany,necmiaksoy@duzce.edu.tr
,126501,Universität Hohenheim (210),HOH,Institut für Botanik 210,Botany,
,126580,University of Alabama,UNA,,,sginzbar@ua.edu
,126111,Tallinn Botanic Garden,TALL,,Department of Environmental Education,merlyn.pajur@botaanikaaed.ee
,124042,,BEREA,,Department of Biological Sciences,robert.pace@eku.edu
,125395,Museu de História Natural do Funchal,MADM,,Science and Natural Resources,juan.silva@cm-funchal.pt
,125692,Planting Fields Arboretum State Historic Park,OBPF,,,daveandrem@prodigy.net
,255205,Universidad Autónoma de Querétaro,HHUAQ,Facultad de Ciencias Naturales,Licenciatura en Microbiología,
,254960,Universidade Federal do Espírito Santo,CAP,Campus Sul Capixaba,Ciências Florestais e da Madeira,herbariocapixaba@gmail.com
,255208,Jahangirnagar University,JUH,Plant Systematics and Biodiversity Laboratory,Department of Botany,
,124134,Brown University,BRU,Biology and Medicine,Ecology and Evolutionary Biology,rebecca_kartzinel@brown.edu
,124613,Ghent University,GENT,,Department of Biology,lars.chatrou@ugent.be
,251000,Mie Prefectural Museum,MIE,,,MieMu@pref.mie.lg.jp
,256624,De La Salle University,DLSUH,,Biology Department,
,125368,Muséum d'Histoire Naturelle de Grenoble,GRM,,,
,124844,"Institute of Biology Bucharest, Romanian Academy",BUCM,,"Centre of Ecology, Taxonomy and Nature Conservation",daniela.sincu@ibiol.ro
,125976,Smithsonian Institution,US,"NMNH, MRC-166",Department of Botany,USNH@si.edu
,124570,Fort Lewis College,FLD,,Biology Department,
,124980,Jardim Botânico de Brasília,HEPH,Diretoria de Vegetação e Flora,Superintendência Técnico Científica,heph.jbb@gmail.com
,124835,UNIVEGE Université Clermont Auvergne,CLF,,,herbiers@uca.fr
,242227,Northwestern University Inc.,HNUL,Executive Division,EMDO - Office of the President,nwu_ecopark@yahoo.com
,125834,Ruhr-Universität Bochum,BOCH,Faculty for Biology and Biotechnology,Evolution and Biodiversity of Plants,thomas.stuetzel@rub.de
,254830,The University of Tokyo Forests,UTF,,"Graduate School of Agricultural and Life Sciences, the University of Tokyo",
,255270,Daniel PELLÉ Herbarium,DP,,,contact@mon-herbier.fr
,226807,Fundacion Fungi,FFCL,,,gfurci@ffungi.org
,255257,"College of Agriculture and Natural Resources, University of Tehran",UTFH,Plant Pathology,Plant Protection,fotowhi@ut.ac.ir
,123898,Agharkar Research Institute,AMH,,Biodiversity and Palaeobiology Group (erstwhile-Mycology and Plant Pathology Department),"sksingh@aripune.org
singhsksingh@gmail.com"
,126800,University of Reading,RNG,Ecology and Evolutionary Biology,Biological Sciences,a.culham@reading.ac.uk
,255285,University of North Georgia,UNGGVH,,Biology,
,255232,St. George Village Botanical Garden,SGBG,,,infoatthegarden@gmail.com
,126863,University of the Virgin Islands,VIST,V.I. Cooperative Extension Service,Natural Resources Program,
,124050,Biologische Station Neusiedler See,NBSI,"Abt. 4 - Ländliche Entwicklung, Agrarwesen und Naturschutz",Amt der Bgld. Landesregierung,post.bs-illmitz@bgld.gv.at
,124682,Hacettepe University,HUEF,Faculty of Pharmacy,Pharmaceutical Botany,golshanzare@gmail.com
,255031,Raven Rock State Park,RARO,North Carolina State Parks and Recreation,,raven.rock@ncparks.gov
,224622,Da Lat University,DLU,,Biology,ngocnv@dlu.edu.vn
,125296,Morton Arboretum,MOR,,Research Department,ahipp@mortonarb.org
,124238,University of Barcelona,BCN,,Plant Biodiversity Resource Centre,cedocbiv@ub.edu
,126453,Università degli Studi di Roma La Sapienza,RO,,Dipartimento di Biologia Ambientale,donatella.magri@uniroma1.it
,154867,Associazione Micologica Bresadola,AMB,,,amb@ambbresadola.it
,126198,Tunghai University,TUNG,,Life Science Department,
,243623,University of South Carolina Salkehatchie,SALK,,,erankil@mailbox.sc.edu
,124212,Central Michigan University,CMC,,Department of Biology,monfi1ak@cmich.edu
,126276,Universidad de Jaén,JAEN,Facultad de Ciencias Experimentales,Botánica,
,137366,Universidade Estadual de Maringá,HUEM,"Bloco H78, sala 17",Departamento de Biologia,herbario@uem.br
,125354,Instituto Nacional da Mata Atlântica - INMA,MBML,Divisão de Ciências,,"mbml.herbario@inma.gov.br
helio.fernandes@inma.gov.br"
,94837,Universidad Nacional de San Agustín de Arequipa,HUSA,Escuela de Biología,"Facultad de Ciencias Biológicas, 	Área de Biomédicas",dcaceresh@unsa.edu.pe
,125814,Royal Botanic Gardens & Domain Trust,NSW,Royal Botanic Garden Sydney,,shelley.james@rbgsyd.nsw.gov.au
,126234,Universidad Autónoma de Nuevo León,CFNL,Facultad de Ciencias Forestales,,
,126684,University of Illinois at Urbana-Champaign,ILL,School of Integrative Biology,Department of Plant Biology,minnaert@illinois.edu
,124176,CIRAD,ALF,TA C 112/A,,herbieralf@cirad.fr
,126218,UAE University,ABDH,College of Science,Biology Department,Mohamed.mousa@uaeu.ac.ae
,124596,Fundação Zoobotânica do Rio Grande do Sul,HAS,Seção de Botânica,Museu de Ciências Naturais,herbario-has@fzb.rs.gov.br
,172679,Gachon University,GCU,,Department of Life Sciences,ckim@gachon.ac.kr
,125227,Masaryk University,BRNU,Faculty of Science,Department of Botany and Zoology,danihel@sci.muni.cz
,126992,Weber State University,WSCO,,Botany Department,sclark@weber.edu
,255440,Eurobodalla Regional Botanic Garden,ERBG,,,Michael.Anlezark@esc.nsw.gov.au
,125693,Iranian Research Institute of Plant Protection,IRAN,,Department of Botany,
,253486,Agricultural University of Georgia,AUMH,,Agriculture and Life Sciences,micoherbarium@agruni.edu.ge
,255381,Vasyl Krychevsky Poltava Museum of Local Lore,PW,,Department of Nature,poltava_local_museum@ukr.net
,255340,Baltimore Woods Nature Center,BWNC,,,tom@baltimorewoods.org
,226237,City of Alexandria,AVCH,,,Rod.Simmons@alexandriava.gov
,255376,University of Washington Bothell,UWB,,Office of Research,
,255445,"Cephalonia Botanica, Focas Cosmetatos Foundation",CBH,,,
,126243,Museo de Historia Natural Noel Kempff Mercado -- Universidad Autónoma Gabriel René Moreno,USZ,Área de Botánica,,mmendoza52@yahoo.com
,169609,"Marine Science Institute, University of the Philippines",MSI,,College of Science,wjsantianez@msi.upd.edu.ph
,126873,UiT The Arctic University of Norway​,TROM,The Arctic University Museum of Norway​,,
,126846,University of Texas at El Paso,UTEP,,Department of Biological Sciences,MZHUANG@UTEP.EDU
,255464,Saint Mary's College of California,SMC,,Biology,jrc16@stmarys-ca.edu
,251156,China National GeneBank,HCNGB,,,P_herbarium@genomics.cn
,255417,"Department of Higher Education, Khyber Pakhtunkhwa, Pakistan",BANNU,Government Post Graduate College Bannu,Botany,shahidberg@uop.edu.pk
,254919,Islamia College University Peshawar,ICFP,Faculty of Natural Sciences,Botany,ishtiaqmatta@gmail.com
,126504,Christian-Albrechts-Universität zu Kiel,KIEL,Botanisches Institut und Botanischer Garten,,herbarium@bot.uni-kiel.de
,124790,Hungarian Natural History Museum,BP,,Botanical Department,"papp.beata@nhmus.hu, szurdoki.erzsebet@nhmus.hu, barina.zoltan@nhmus.hu"
,124402,Desert Botanical Garden,DES,,Research Department,asalywon@dbg.org
,169570,Universidade Federal de Rondônia,RON,,Departamento de Biologia,herbarioron@unir.br
,126459,Università di Bologna,BOLO,Sistema Museale di Ateneo,,annalisa.managlia@unibo.it
,126283,Universidad del Azuay,HA,Facultad de Ciencia y Tecnología,Escuela de Biología,herbario@uazuay.edu.ec
,124178,Campus Universitario de Tafira,BCM,Facultad de Ciencias del Mar,Departamento de Biología,fco.suarezsantana@ulpgc.es
,126534,Université de Neuchâtel,NEU,Institut de biologie,Laboratoire de génétique évolutive,jason.grant@unine.ch
,124320,Colorado State University,CMML,Center for Environmental Management of Military Lands,,Nancy.Hastings@Colostate.edu
,125868,Santa Barbara Botanic Garden,SBBG,,Department of Conservation and Research,"mguilliams@sbbg.org, rnaesborg@sbbg.org"
,126288,Universidad de Los Andes,MERC,Facultad de Ciencias,Instituto Jardín Botánico,jestr@ula.ve
,126733,University of Michigan,MICH,,,rabeler@umich.edu
,124791,"The Huntington Library, Art Collections, and Botanical Gardens",HNT,Botanical,Conservation,slahmeyer@huntington.org
,125713,Portland State University,HPSU,"Department of Biology, 246 Science Teaching Research Center (SRTC)",Biology Department,john.christy@pdx.edu
,255583,Conservatoire botanique national méditerranéen de Porquerolles,HYE,,,m.pires@cbnmed.fr
,255587,Herbario de la Facultad de Ciencias Ambientales y Agrícolas de la Universidad Rafael Landívar,HURLGT,,Guatemala,herbariourlgt@gmail.com
,126669,University of Helsinki,H,Finnish Museum of Natural History,Botany Unit,marko.hyvarinen@helsinki.fi
,255594,"Walchand College of Arts and Science, Solapur",WCAS,Taxonomy of Angiosperm,Botany,"sayajiraog@gmail.com
ramdgore@gmail.com"
,126550,Université Laval,QFA,,,herbier@herbier.ulaval.ca
,167866,Gauhati University,GUBH,,Department of Botany,souravborah@gauhati.ac.in
,255684,University of Nizwa,NMSRC,,Natural and Medical Sciences Research Center,abdullatif@unizwa.edu.om
,126277,Universidad de La Laguna,TFC,,Servicio General de Apoyo a la Investigación (SEGAI),htfcsegai@ull.es
,255392,Thai Traditional Medicine Research Institute,TTM,Thai Traditional Medicine Research Institute,Department of Thai Traditional and Alternative Medicine,nopparut.toolmal@gmail.com
,125411,Centro de Biodiversidad y Genetica-UMSS,BOLV,,,magalymercado@hotmail.com
,126907,University of Wyoming,RM,,"Department of Botany, 3165",bnelsonn@uwyo.edu
,126870,University of Tokyo,TI,University Museum,,ti_herbarium@ns.bg.s.u-tokyo.ac.jp
,255715,"GC University, Lahore",GCUSAH,Life Sciences,Botany,drsultanaherb@gcu.edu.pk
,125104,Lakehead University,LKHD,,Biology Department,kedysiev@lakeheadu.ca
,125657,Parc Botanique et Zoologique de Tsimbazaza (PBZT),TAN,Herbier,Département Flore,
,124831,Institut de Recherche pour le Développement (IRD),NOU,,AMAP,Herbier.noumea@ird.fr
,124509,Fairchild Tropical Botanic Garden,FTG,,Center for Tropical Plant Conservation,bjestrow@fairchildgarden.org
,124997,Meise Botanic Garden,BR,,Collections,curator@botanicgardenmeise.be
